codfabnumero;codnotafiscal;ean;descricao;preco_compra
50302777;50302777;7908240823799;ESSENCIAL SUPREME MASC DEO PARFUM 2020;122,77
50302786;50302786;7908240823850;ESSENCIAL SUPREME FEM DEO PARFUM 2020;122,77
50413175;50413175;7909883014001;CAIXA TRANSVERSAL SELO G;2,34
50501523;50501523;7909883209018;UNA GLOSS LABIAL VOL IMED INCOLOR 5ML;27,23
50526361;50526361;7909883253479;NATURA SOLAR LOCAO FACIAL NS FPS50 50ML;54,53
50435123;50435123;7909883054946;CHRONOS PROT SOLAR FPS50 50ML GAIA PS;47,71
50527994;50527994;7909883137670;TODODIA DES ROLLON TAMARA 70ML;20,405
50558285;50558285;7909883308780;HUMOR HID DA MINHA VIDA FEM MAOS 40G;16,555
50563837;50563837;7909883329679;HUMOR DES COL DA MINHA VIDA FE CORP 75ML;58,425
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,225
50452466;50452466;7909883097844;SEVE OLEO DES HID AMEN ORQ NEGR 200ML;45,96
50569899;50569899;7909883344276;SEVE RF OLEO DES AMEND ORQU NEGR 200ML;39,22
50546457;50546457;7909189366699;REVISTA DE BELEZA C19 2025 BRASIL V1;4,38
61013060;61013060;7909883448462;ESP NATURA C19 2025 NE NO RJ ES CO MG V2;4,38
50366769;50366769;7908371675229;KAIAK AMOST CLASSICO MASC DES COL 3X1ML;2,1
50399685;50399685;7908132245180;TODODIA DES HID CORP MACA AMOST 5ML TERC;2,1
50495228;50495228;7909883197445;SACOLA MINI PACK 3;3,9
